id,name,stat_name,base_stat,effort
1,bulbasaur,attack,49,0
1,bulbasaur,defense,49,0
1,bulbasaur,hp,45,0
1,bulbasaur,special-attack,65,1
1,bulbasaur,special-defense,65,0
1,bulbasaur,speed,45,0
2,ivysaur,attack,62,0
2,ivysaur,defense,63,0
2,ivysaur,hp,60,0
2,ivysaur,special-attack,80,1
2,ivysaur,special-defense,80,1
2,ivysaur,speed,60,0
3,venusaur,attack,82,0
3,venusaur,defense,83,0
3,venusaur,hp,80,0
3,venusaur,special-attack,100,2
3,venusaur,special-defense,100,1
3,venusaur,speed,80,0
4,charmander,attack,52,0
4,charmander,defense,43,0
4,charmander,hp,39,0
4,charmander,special-attack,60,0
4,charmander,special-defense,50,0
4,charmander,speed,65,1
5,charmeleon,attack,64,0
5,charmeleon,defense,58,0
5,charmeleon,hp,58,0
5,charmeleon,special-attack,80,1
5,charmeleon,special-defense,65,0
5,charmeleon,speed,80,1
6,charizard,attack,84,0
6,charizard,defense,78,0
6,charizard,hp,78,0
6,charizard,special-attack,109,3
6,charizard,special-defense,85,0
6,charizard,speed,100,0
7,squirtle,attack,48,0
7,squirtle,defense,65,1
7,squirtle,hp,44,0
7,squirtle,special-attack,50,0
7,squirtle,special-defense,64,0
7,squirtle,speed,43,0
8,wartortle,attack,63,0
8,wartortle,defense,80,1
8,wartortle,hp,59,0
8,wartortle,special-attack,65,0
8,wartortle,special-defense,80,1
8,wartortle,speed,58,0
9,blastoise,attack,83,0
9,blastoise,defense,100,0
9,blastoise,hp,79,0
9,blastoise,special-attack,85,0
9,blastoise,special-defense,105,3
9,blastoise,speed,78,0
10,caterpie,attack,30,0
10,caterpie,defense,35,0
10,caterpie,hp,45,1
10,caterpie,special-attack,20,0
10,caterpie,special-defense,20,0
10,caterpie,speed,45,0
11,metapod,attack,20,0
11,metapod,defense,55,2
11,metapod,hp,50,0
11,metapod,special-attack,25,0
11,metapod,special-defense,25,0
11,metapod,speed,30,0
12,butterfree,attack,45,0
12,butterfree,defense,50,0
12,butterfree,hp,60,0
12,butterfree,special-attack,90,2
12,butterfree,special-defense,80,1
12,butterfree,speed,70,0
13,weedle,attack,35,0
13,weedle,defense,30,0
13,weedle,hp,40,0
13,weedle,special-attack,20,0
13,weedle,special-defense,20,0
13,weedle,speed,50,1
14,kakuna,attack,25,0
14,kakuna,defense,50,2
14,kakuna,hp,45,0
14,kakuna,special-attack,25,0
14,kakuna,special-defense,25,0
14,kakuna,speed,35,0
15,beedrill,attack,90,2
15,beedrill,defense,40,0
15,beedrill,hp,65,0
15,beedrill,special-attack,45,0
15,beedrill,special-defense,80,1
15,beedrill,speed,75,0
16,pidgey,attack,45,0
16,pidgey,defense,40,0
16,pidgey,hp,40,0
16,pidgey,special-attack,35,0
16,pidgey,special-defense,35,0
16,pidgey,speed,56,1
17,pidgeotto,attack,60,0
17,pidgeotto,defense,55,0
17,pidgeotto,hp,63,0
17,pidgeotto,special-attack,50,0
17,pidgeotto,special-defense,50,0
17,pidgeotto,speed,71,2
18,pidgeot,attack,80,0
18,pidgeot,defense,75,0
18,pidgeot,hp,83,0
18,pidgeot,special-attack,70,0
18,pidgeot,special-defense,70,0
18,pidgeot,speed,101,3
19,rattata,attack,56,0
19,rattata,defense,35,0
19,rattata,hp,30,0
19,rattata,special-attack,25,0
19,rattata,special-defense,35,0
19,rattata,speed,72,1
20,raticate,attack,81,0
20,raticate,defense,60,0
20,raticate,hp,55,0
20,raticate,special-attack,50,0
20,raticate,special-defense,70,0
20,raticate,speed,97,2
21,spearow,attack,60,0
21,spearow,defense,30,0
21,spearow,hp,40,0
21,spearow,special-attack,31,0
21,spearow,special-defense,31,0
21,spearow,speed,70,1
22,fearow,attack,90,0
22,fearow,defense,65,0
22,fearow,hp,65,0
22,fearow,special-attack,61,0
22,fearow,special-defense,61,0
22,fearow,speed,100,2
23,ekans,attack,60,1
23,ekans,defense,44,0
23,ekans,hp,35,0
23,ekans,special-attack,40,0
23,ekans,special-defense,54,0
23,ekans,speed,55,0
24,arbok,attack,95,2
24,arbok,defense,69,0
24,arbok,hp,60,0
24,arbok,special-attack,65,0
24,arbok,special-defense,79,0
24,arbok,speed,80,0
25,pikachu,attack,55,0
25,pikachu,defense,40,0
25,pikachu,hp,35,0
25,pikachu,special-attack,50,0
25,pikachu,special-defense,50,0
25,pikachu,speed,90,2
26,raichu,attack,90,0
26,raichu,defense,55,0
26,raichu,hp,60,0
26,raichu,special-attack,90,0
26,raichu,special-defense,80,0
26,raichu,speed,110,3
27,sandshrew,attack,75,0
27,sandshrew,defense,85,1
27,sandshrew,hp,50,0
27,sandshrew,special-attack,20,0
27,sandshrew,special-defense,30,0
27,sandshrew,speed,40,0
28,sandslash,attack,100,0
28,sandslash,defense,110,2
28,sandslash,hp,75,0
28,sandslash,special-attack,45,0
28,sandslash,special-defense,55,0
28,sandslash,speed,65,0
29,nidoran-f,attack,47,0
29,nidoran-f,defense,52,0
29,nidoran-f,hp,55,1
